name,age,club,positions,nationality,rating_merged,goals_p90_merged,assists_p90_merged,xg_per_90_merged,shots_p90_merged,key_passes_p90_merged,passes_p90_merged,accurate_crosses_p90_merged,interceptions_p90_merged,tackles_p90_merged,blocks_p90_merged,dribbles_won_p90_merged,aerial_won_p90_merged,pass_success_pct_merged,dispossessed_p90_merged,turnovers_p90_merged,goals_p90_pct_merged,assists_p90_pct_merged,xg_per_90_pct_merged,key_passes_p90_pct_merged,tackles_p90_pct_merged,interceptions_p90_pct_merged,pass_success_pct_pct_merged,dribbles_won_p90_pct_merged,aerial_won_p90_pct_merged
Aaron Appindangoyé,34,Sivasspor,D(C),ga,6.55439178167245,0.0236220472440945,0.0236220472440945,0.0332885433070866,0.396850393700787,0.158267716535433,39.3649606299213,0,1.05236220472441,0.500787401574803,0.94251968503937,0.0874015748031496,1.7751968503937,81.7163330125361,0.151181102362205,0.289370078740157,0.229701519868156,0.213294268449002,0.216752557093154,0.0567138410024328,0.0386794673921574,0.57646166322233,0.533000235435687,0.0452559709106129,0.713584639129411
Aaron Cresswell,36,Stoke,"D(CL),M(L)",gb-eng,6.67415497824701,0.022447688867906,0.0954026776886007,0.0248058185834796,0.533132610612769,1.19774454173756,50.7526211239879,1.30677617338167,1.04942945457461,0.953225073712153,0.40004988375304,0.149116790336804,1.10955719261364,82.777340633363,0.142703164945974,0.49545256144164,0.15820334616315,0.598695893908321,0.149803818206648,0.676795301174827,0.214982085214871,0.6206749022968,0.65396011372776,0.111533509109384,0.447575582032007
Aaron Donnelly,22,Dundee FC,D(C),gb-nir,6.67176470588235,0,0.132743362831858,0.0363384955752212,0.79646017699115,0.597345132743363,41.1504424778761,0.265486725663717,0.86283185840708,0.730088495575221,0.79646017699115,0,3.58407079646018,61.6129032258064,0,0.265486725663717,0,0.72289156626506,0.0843373493975904,0.301204819277108,0.120481927710843,0.63855421686747,0.0602409638554217,0,0.819277108433735
Aaron Hickey,23,Brentford,"D(LR),M(LR)",gb-sct,6.58597479609603,0.0881184127166964,0.0383574267119737,0.00766319184472729,0.598168519265104,0.124402465011807,15.0734320105972,0.0829349766745378,0.352473650866786,0.787882278408109,0.145136209180441,0.352473650866786,0.607498704140989,83.7957487755967,0.269538674192248,0.331739906698151,0.354767858061777,0.335496285131432,0.0615410671777409,0.0703326482031324,0.246164268710963,0.188139833943379,0.64017421543449,0.237372687685572,0.250961004931168
Aarón Martín,28,Genoa,"D(L),M(L)",es,6.76248969672779,0.0517037313897714,0.168815797670217,0.0272114246558276,0.507693266056189,2.00211798417741,32.5073195041425,2.25253846633028,0.594281442720987,1.89061234660188,0.265370958699309,0.524512552170934,0.440416121597209,79.3295214941085,0.535102473057995,0.766834859527814,0.229418493577152,0.739084283797869,0.128593667139164,0.899100270492826,0.697686120462858,0.367943666409341,0.376865359742686,0.454891434703663,0.147534223794887
Aaron Opoku,26,Kayserispor,"D(R),M(LR)",gh,6.35368421052632,0,0.145395799676898,0.064359450726979,0.945072697899838,1.52665589660743,23.0452342487884,0.872374798061389,0.508885298869144,1.01777059773829,0.0726978998384491,1.23586429725363,1.01777059773829,76.6561514195584,0.945072697899838,1.45395799676898,0,0.765957446808511,0.388297872340426,0.829787234042553,0.25531914893617,0.287234042553192,0.234042553191489,0.840425531914894,0.49468085106383
Aaron Ramsey,23,Norwich,AM(CL),gb-eng,6.63388888888889,0.259117082533589,0.259117082533589,null,1.46833013435701,1.81381957773512,37.7447216890595,0.0863723608445297,0.259117082533589,1.20921305182342,0.0863723608445297,0.690978886756238,0.518234165067178,80.7780320366133,1.03646833013436,2.15930902111324,0.821138211382114,0.971544715447154,0.0731707317073171,0.926829268292683,0.296747967479675,0.0975609756097561,0.715447154471545,0.540650406504065,0.126016260162602
Aaron Wan-Bissaka,28,West Ham,"D(LR),M(R)",cd,6.92464831540032,0.0213402514802184,0.0960311316609829,0.0235465196560454,0.291231667259451,0.844822896834529,40.8665815846183,0.467602569198904,1.8515806431366,1.95200535598469,0.437475155344478,1.29359583237442,0.866163148314748,81.1812196991215,0.586229261250706,1.02495972550578,0.159365174175094,0.528752425438566,0.379113227994275,0.509150425067222,0.61854916290141,0.963784337664897,0.41627103702188,0.763059547306962,0.38242712970338
Aaron Zehnter,21,Wolfsburg,"D(L),M(L)",de,6.535,0.148637489677952,0,0.0573443435177539,0.594549958711808,1.11478117258464,37.382328654005,0.891824938067713,1.18909991742362,0.891824938067713,0.445912469033856,0.297274979355904,0.594549958711808,78.9264413518887,0,0.594549958711808,0.608910891089109,0,0.292079207920792,0.608910891089109,0.138613861386139,0.747524752475248,0.381188118811881,0.306930693069307,0.237623762376238
Abakar Sylla,23,Strasbourg,D(C),ci,6.53765078377723,0.072106824925816,0,0.0585177596439169,0.551483679525223,0.196290801186944,63.1121661721068,0,1.3700296735905,2.45163204747774,0.722403560830861,0.527448071216617,1.84005934718101,87.8484337225683,0.377893175074184,0.731750741839763,0.413342534446668,0,0.370211674629024,0.0880602129906899,0.780944222775546,0.748455868405979,0.866541018676375,0.339344579054721,0.769121312531275
