competition_code,season_id,club_id,club_name,player_id,name,profile_url,position_detail,age,nationalities,market_value_text,market_value_eur,source_url
GB1,2025,11,FC Arsenal,262749,David Raya,https://www.transfermarkt.pt/david-raya/profil/spieler/262749,Guarda-Redes,30,Espanha,"35,00 M €",35000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,192279,Kepa Arrizabalaga,https://www.transfermarkt.pt/kepa-arrizabalaga/profil/spieler/192279,Guarda-Redes,31,Espanha,"7,00 M €",7000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,495666,William Saliba,https://www.transfermarkt.pt/william-saliba/profil/spieler/495666,Defesa Central,25,França|Camarões,"90,00 M €",90000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,435338,Gabriel,https://www.transfermarkt.pt/gabriel/profil/spieler/435338,Defesa Central,28,Brasil,"75,00 M €",75000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,659813,Piero Hincapié,https://www.transfermarkt.pt/piero-hincapie/profil/spieler/659813,Defesa Central,24,Equador,"50,00 M €",50000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,646750,Cristhian Mosquera,https://www.transfermarkt.pt/cristhian-mosquera/profil/spieler/646750,Defesa Central,21,Espanha|Colômbia,"35,00 M €",35000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,502821,Riccardo Calafiori,https://www.transfermarkt.pt/riccardo-calafiori/profil/spieler/502821,Lateral Esquerdo,23,Itália,"50,00 M €",50000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,890721,Myles Lewis-Skelly,https://www.transfermarkt.pt/myles-lewis-skelly/profil/spieler/890721,Lateral Esquerdo,19,Inglaterra|Barbados,"35,00 M €",35000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,420243,Jurriën Timber,https://www.transfermarkt.pt/jurrien-timber/profil/spieler/420243,Lateral Direito,24,Holanda|Curacao,"70,00 M €",70000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,335721,Ben White,https://www.transfermarkt.pt/ben-white/profil/spieler/335721,Lateral Direito,28,Inglaterra,"30,00 M €",30000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,423440,Martín Zubimendi,https://www.transfermarkt.pt/martin-zubimendi/profil/spieler/423440,Médio Defensivo,27,Espanha,"80,00 M €",80000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,148367,Christian Nørgaard,https://www.transfermarkt.pt/christian-norgaard/profil/spieler/148367,Médio Defensivo,32,Dinamarca,"7,00 M €",7000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,357662,Declan Rice,https://www.transfermarkt.pt/declan-rice/profil/spieler/357662,Médio Centro,27,Inglaterra|Irlanda,"120,00 M €",120000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,338424,Mikel Merino,https://www.transfermarkt.pt/mikel-merino/profil/spieler/338424,Médio Centro,29,Espanha,"30,00 M €",30000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,316264,Martin Ødegaard,https://www.transfermarkt.pt/martin-odegaard/profil/spieler/316264,Médio Ofensivo,27,Noruega,"65,00 M €",65000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,479999,Eberechi Eze,https://www.transfermarkt.pt/eberechi-eze/profil/spieler/479999,Médio Ofensivo,27,Inglaterra|Nigéria,"60,00 M €",60000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,655488,Gabriel Martinelli,https://www.transfermarkt.pt/gabriel-martinelli/profil/spieler/655488,Extremo Esquerdo,24,Brasil|Itália,"45,00 M €",45000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,144028,Leandro Trossard,https://www.transfermarkt.pt/leandro-trossard/profil/spieler/144028,Extremo Esquerdo,31,Bélgica,"20,00 M €",20000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,433177,Bukayo Saka,https://www.transfermarkt.pt/bukayo-saka/profil/spieler/433177,Extremo Direito,24,Inglaterra|Nigéria,"120,00 M €",120000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,503987,Noni Madueke,https://www.transfermarkt.pt/noni-madueke/profil/spieler/503987,Extremo Direito,24,Inglaterra|Nigéria,"50,00 M €",50000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
GB1,2025,11,FC Arsenal,1187629,Max Dowman,https://www.transfermarkt.pt/max-dowman/profil/spieler/1187629,Extremo Direito,16,Inglaterra,"20,00 M €",20000000,https://www.transfermarkt.pt/fc-arsenal/kader/verein/11/saison_id/2025
